sourcetype,app,technology,ids_type,vendor,product,product_detail
cisco_ips_syslog,cisco:ips,IDS,network,Cisco,IPS,Intrusion Prevention System
cisco_acs,cisco:acs,Identity,authentication,Cisco,ACS,Secure Access Control System
cisco:asa,cisco:asa,Firewall,network,Cisco,ASA,Adaptive Security Appliance
cisco_csa,cisco:csa,IDS,host,Cisco,CSA,Cisco Security Agent
cisco:fwsm,cisco:fwsm,Firewall,network,Cisco,FWSM,Firewall Services Module
cisco_ids,cisco:ids,IDS,network,Cisco,IDS,Intrusion Detection System
cisco:pix,cisco:pix,Firewall,network,Cisco,Pix,PIX
cisco_wap,cisco:wap,Wireless,wireless,Cisco,WAP,Wireless Access Point
cisco_wlc,cisco:wlc,Wireless,wireless,Cisco,WLC,Wireless LAN Controller
cisco_firewall,cisco:firewall,Firewall,network,Cisco,Firewall,Cisco Switch
cisco_ios,cisco:ios,Router,network,Cisco,RTR,Cisco Router
cisco_ise,cisco:ise,Identity,network,Cisco,ISE,Identity Services Engine
cisco_smc,cisco:smc,IDS,network,Cisco,CTD,Cyber Threat Defense
cisco_sw,cisco:sw,Switch,network,Cisco,SW,Cisco Switch
cisco_esa,cisco:esa,Email,smtp,Cisco,ESA,Email Security Appliance
cisco:wsa,cisco:wsa,Proxy,proxy,Cisco,WSA,Web Security Appliance
cisco:wsa:squid,cisco:wsa,Proxy,proxy,Cisco,WSA,Web Security Appliance
cisco:wsa:l4tm,cisco:wsa,Proxy,proxy,Cisco,WSA,Web Security Appliance
Cisco:ISE:Syslog,cisco:ise,Identity,authentication,Cisco,ISE,Identity Services Engine
cisco-smc,cisco:smc,IDS,network,Cisco,CTD,Cyber Threat Defense
cisco-vsg,cisco:vsg,Firewall,network,Cisco,VSG,Virtual Security Gateway
cisco-3750x,cisco:3750x,Switch,switch,Cisco,SW,Cisco Switch
cisco-n1k,cisco:n1k,Switch,switch,Cisco,N1K,Nexus 1000v
estreamer,sourcefire:sdc,IDS,network,Sourcefire,SDC,Sourcefire Defense Center
