bro_log.rcode_name,reply_code_name,reply_code_long
NOERROR,NoError,"No Error"
FORMERR,FormErr,"Format Error"
SERVFAIL,ServFail,"Server Failure"
NXDOMAIN,NXDomain,"Non-Existent Domain"
NOTIMP,NotImp,"Not Implemented"
REFUSED,Refused,"Query Refused"
YXDOMAIN,YXDomain,"Name Exists when it should not"
YXRRSET,YXRRSet,"RR Set Exists when it should not"
NXRRSet,NXRRSet,"RR Set that should exist doesn not"
NOTAUTH,NotAuth,"Server Not Authorized for zone"
NOTZONE,NotZone,"Name not contained in zone"
BADVERS,BADVERS,"Bad OPT Version"
BADKEY,BADKEY,"Key not recognized"
BADTIME,BADTIME,"Signature out of time window"
BADMODE,BADMODE,"Bad TKEY Mode"
BADNAME,BADNAME,"Duplicate key name"
BADALG,BADALG,"Algorithm not supported"
BADTRUNC,BADTRUNC,"Bad Truncation"
BADSIG,BADSIG,"TSIG Signature Failure"
