message_id,change_class,change_description,action,change_type,object_type
111010,all,Configuration Change,unknown,AAA,object
500001,change,ActiveX content modified,modified,content,object
500002,change,Java content modified,modified,content,object
502101,change,New user added to local dbase,created,AAA,user
502102,change,User deleted from local dbase,deleted,AAA,user
502103,change,User priv level changed,modified,AAA,user
502111,change,New group policy added,created,AAA,policy
502112,change,New group policy deleted,deleted,AAA,policy
504001,change,Security context added,created,AAA,context
504002,change,Security context removed,deleted,AAA,context
5050*,change,Module Change,modified,module,module
506001,change,Filesystem change,modified,filesystem,object
