act,action
REQ_BAD_CLIENT_CLOSED_CONNECTION,dropped
REQ_BAD_PARSE_ERROR,dropped
REQ_BAD_RESP_CLIENT_STALLED,timeout
REQ_BAD_RESP_SERVER_STALLED,timeout
REQ_BAD_SERVER_CLOSED_CONNECTION,blocked
REQ_BAD_TIMEOUT_CONNECTION_TO_SERVER,timeout
REQ_BLOCKED_ACL,blocked
REQ_BLOCKED_COOKIELESS_SESSION,blocked
REQ_BLOCKED_SECURITY,blocked
REQ_BLOCKED_SESSION,blocked
REQ_BLOCKED_VISITOR,blocked
REQ_CACHED_FRESH,allowed
REQ_CACHED_VALIDATED,allowed
REQ_CHALLENGE_CAPTCHA,allowed
REQ_CHALLENGE_COOKIE_RETRY,allowed
REQ_CHALLENGE_JAVASCRIPT,allowed
REQ_PASSED,allowed
